identificador,tipo_subasta,cantidad_reclamada,lotes,valor_subasta,tasacion,tramos_entre_pujas,importe_deposito,fecha_inicio,fecha_fin,anuncio_BOE,forma_Adjudicacion,puja_minima
SUB-JA-2021-181720,JUDICIAL EN VÍA DE APREMIO,365300.14,Sin lotes,161347.5,,3226.95,8067.37,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44052,,"200,00 €"
SUB-JA-2021-180662,JUDICIAL EN VÍA DE APREMIO,114655.52,Sin lotes,176500.0,,,8825.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44054,,Sin puja mínima
SUB-JA-2021-180699,JUDICIAL EN VÍA DE APREMIO,121933.87,Sin lotes,214500.0,,,10725.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44055,,Sin puja mínima
SUB-JA-2021-166435,JUDICIAL EN VÍA DE APREMIO,64568.56,Sin lotes,180000.0,,3600.0,9000.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44058,,Sin puja mínima
SUB-JA-2021-181596,JUDICIAL EN VÍA DE APREMIO,27648.61,Sin lotes,180873.0,,3617.46,9043.65,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44051,,Sin puja mínima
SUB-JA-2021-180756,JUDICIAL EN VÍA DE APREMIO,127773.94,Sin lotes,12773.94,,255.48,638.7,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44063,,Sin puja mínima
SUB-NV-2021-895979,NOTARIAL VOLUNTARIA,,5,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44360,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-180818,JUDICIAL EN VÍA DE APREMIO,190212.12,Sin lotes,210577.25,,4211.54,10528.86,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44067,,"200,00 €"
SUB-JA-2021-177709,JUDICIAL EN VÍA DE APREMIO,260903.5,Sin lotes,370216.14,216.14,7404.32,18510.8,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44007,,"185.108,07 €"
SUB-AT-2021-20R2886001683,AGENCIA TRIBUTARIA,,Sin lotes,322699.52,857.32,2000.0,16134.97,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44254,,Sin puja mínima
SUB-JA-2021-181465,JUDICIAL EN VÍA DE APREMIO,42390.69,Sin lotes,131064.47,64.47,2621.29,6553.22,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44069,,Sin puja mínima
SUB-JA-2021-181432,JUDICIAL EN VÍA DE APREMIO,25739.06,Sin lotes,70800.0,,1416.0,3540.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44008,,Sin puja mínima
SUB-JA-2021-175543,JUDICIAL EN VÍA DE APREMIO,63123.66,2,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-43938,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-176188,JUDICIAL EN VÍA DE APREMIO,163389.67,Sin lotes,175000.0,,3500.0,8750.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44056,,"200,00 €"
SUB-JA-2021-178666,JUDICIAL EN VÍA DE APREMIO,155723.19,Sin lotes,270770.0,,5415.4,13538.5,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44064,,Sin puja mínima
SUB-JA-2021-177660,JUDICIAL EN VÍA DE APREMIO,125810.28,Sin lotes,196648.0,,,9832.4,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44060,,Sin puja mínima
SUB-JA-2021-181345,JUDICIAL EN VÍA DE APREMIO,175550.24,Sin lotes,233500.0,,4670.0,11675.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44106,,Sin puja mínima
SUB-JV-2021-182409,JUDICIAL VOLUNTARIA,0.0,Sin lotes,90012.73,12.73,3175.0,4500.64,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44161,,"63.008,91 €"
SUB-JA-2020-142651,JUDICIAL EN VÍA DE APREMIO,253463.68,2,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44053,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JV-2021-179609,JUDICIAL VOLUNTARIA,0.0,Sin lotes,117016.7,,2340.33,5850.84,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44066,,"117.016,70 €"
SUB-JA-2021-179411,JUDICIAL EN VÍA DE APREMIO,151308.89,2,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44135,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-182453,JUDICIAL EN VÍA DE APREMIO,246386.06,Sin lotes,269100.0,,5382.0,13455.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44061,,"200,00 €"
SUB-JA-2021-182377,JUDICIAL EN VÍA DE APREMIO,88411.44,Sin lotes,204400.0,,4088.0,10220.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44065,,"200,00 €"
SUB-JA-2021-182296,JUDICIAL EN VÍA DE APREMIO,4014.42,Sin lotes,95607.34,,1912.15,4780.37,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44010,,Sin puja mínima
SUB-JA-2021-182150,JUDICIAL EN VÍA DE APREMIO,102600.47,Sin lotes,228657.96,,4573.15,11432.89,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44050,,Sin puja mínima
SUB-JA-2021-182062,JUDICIAL EN VÍA DE APREMIO,37938.0,Sin lotes,92000.0,,1840.0,4600.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-43992,,Sin puja mínima
SUB-JA-2021-182005,JUDICIAL EN VÍA DE APREMIO,42275.82,2,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44088,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181966,JUDICIAL EN VÍA DE APREMIO,61170.27,Sin lotes,124240.44,581.0,2484.81,6212.02,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44057,,Sin puja mínima
SUB-NE-2021-875991,NOTARIAL EN VENTA EXTRAJUDICIAL,,5,,,,,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44358,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-179985,JUDICIAL EN VÍA DE APREMIO,1565179.34,Sin lotes,2100900.0,,42018.0,105045.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44062,,"200,00 €"
SUB-NE-2021-875990,NOTARIAL EN VENTA EXTRAJUDICIAL,163911.6,Sin lotes,182124.0,124.0,5000.0,8195.58,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44357,,"163.911,60 €"
SUB-JA-2021-180037,JUDICIAL EN VÍA DE APREMIO,749008.42,Sin lotes,200000.0,,4000.0,10000.0,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-43951,,Sin puja mínima
SUB-JA-2021-181775,JUDICIAL EN VÍA DE APREMIO,130247.76,Sin lotes,174408.15,,3488.16,8720.4,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44049,,"200,00 €"
SUB-JA-2021-181768,JUDICIAL EN VÍA DE APREMIO,583553.72,Sin lotes,816675.0,,,40833.75,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44068,,Sin puja mínima
SUB-JA-2021-180471,JUDICIAL EN VÍA DE APREMIO,133501.09,Sin lotes,224036.65,,4480.73,11201.83,02-11-2021 18:00:00 CET,22-11-2021 18:00:00 CET ,BOE-B-2021-44059,,Sin puja mínima
SUB-JA-2021-176172,JUDICIAL EN VÍA DE APREMIO,234385.57,Sin lotes,186180.24,,3723.6,9309.01,29-10-2021 18:00:00 CET,18-11-2021 18:00:00 CET ,BOE-B-2021-43510,,Sin puja mínima
SUB-JA-2021-181764,JUDICIAL EN VÍA DE APREMIO,155178.49,Sin lotes,167200.0,,3344.0,8360.0,29-10-2021 18:00:00 CET,18-11-2021 18:00:00 CET ,BOE-B-2021-43503,,Sin puja mínima
SUB-JA-2021-181860,JUDICIAL EN VÍA DE APREMIO,125077.26,Sin lotes,170400.0,,3408.0,8520.0,29-10-2021 18:00:00 CET,18-11-2021 18:00:00 CET ,BOE-B-2021-43506,,Sin puja mínima
SUB-JA-2021-181519,JUDICIAL EN VÍA DE APREMIO,105694.16,3,,,,,29-10-2021 18:00:00 CET,18-11-2021 18:00:00 CET ,BOE-B-2021-43535,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181724,JUDICIAL EN VÍA DE APREMIO,198159.06,Sin lotes,367500.0,,7350.0,18375.0,29-10-2021 18:00:00 CET,18-11-2021 18:00:00 CET ,BOE-B-2021-43502,,Sin puja mínima
SUB-JA-2018-107077,JUDICIAL EN VÍA DE APREMIO,320000.0,Sin lotes,640000.0,,12800.0,32000.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43327,,Sin puja mínima
SUB-JA-2019-135779,JUDICIAL EN VÍA DE APREMIO,216776.97,2,,,,,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43349,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-164979,JUDICIAL EN VÍA DE APREMIO,8097.01,Sin lotes,19027.62,,380.55,951.38,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43331,,Sin puja mínima
SUB-RC-2021-2800500104119,RECAUDACIÓN TRIBUTARIA,251858.33,Sin lotes,2236000.0,2000.0,5000.0,111800.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43447,,"1.750.000,00 €"
SUB-JA-2021-181838,JUDICIAL EN VÍA DE APREMIO,193685.31,Sin lotes,373240.0,,7464.8,18662.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43328,,Sin puja mínima
SUB-JA-2021-181822,JUDICIAL EN VÍA DE APREMIO,85930.97,Sin lotes,120006.9,,2400.13,6000.34,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43329,,Sin puja mínima
SUB-RC-2021-2800500104118,RECAUDACIÓN TRIBUTARIA,,2,,,,,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43444,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181730,JUDICIAL EN VÍA DE APREMIO,65197.52,3,,,,,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43332,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-165494,JUDICIAL EN VÍA DE APREMIO,191785.49,Sin lotes,281200.0,,,14060.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43348,,Sin puja mínima
SUB-RC-2021-2800500112218,RECAUDACIÓN TRIBUTARIA,3704.15,Sin lotes,13000.0,0.0,500.0,650.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43446,,"10.000,00 €"
SUB-JA-2021-181086,JUDICIAL EN VÍA DE APREMIO,164723.54,Sin lotes,294137.5,,5882.75,14706.88,22-10-2021 18:00:00 CET,11-11-2021 18:00:00 CET ,BOE-B-2021-42503,,Sin puja mínima
SUB-JA-2021-181360,JUDICIAL EN VÍA DE APREMIO,155062.57,Sin lotes,292300.0,,5846.0,14615.0,22-10-2021 18:00:00 CET,11-11-2021 18:00:00 CET ,BOE-B-2021-42448,,Sin puja mínima
SUB-JA-2021-180935,JUDICIAL EN VÍA DE APREMIO,37634.66,Sin lotes,163476.0,,3269.52,8173.8,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42305,,Sin puja mínima
SUB-JA-2021-181061,JUDICIAL EN VÍA DE APREMIO,189014.55,Sin lotes,191900.0,,3838.0,9595.0,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42295,,Sin puja mínima
SUB-JA-2021-181642,JUDICIAL EN VÍA DE APREMIO,1834.2,Sin lotes,9166.24,,183.32,458.31,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42285,,Sin puja mínima
SUB-JA-2021-180262,JUDICIAL EN VÍA DE APREMIO,192462.98,Sin lotes,220600.0,,4412.0,11030.0,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42296,,Sin puja mínima
SUB-JA-2021-181158,JUDICIAL EN VÍA DE APREMIO,598016.58,4,,,,,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42297,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-179990,JUDICIAL EN VÍA DE APREMIO,172145.72,Sin lotes,206452.69,,4129.05,10322.63,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42293,,"200,00 €"
SUB-JA-2021-178968,JUDICIAL EN VÍA DE APREMIO,5056273.27,12,,,,,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42294,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181302,JUDICIAL EN VÍA DE APREMIO,92462.21,Sin lotes,166876.0,,3337.52,8343.8,21-10-2021 18:00:00 CET,10-11-2021 18:00:00 CET ,BOE-B-2021-42268,,Sin puja mínima
SUB-JA-2021-180263,JUDICIAL EN VÍA DE APREMIO,107335.51,Sin lotes,202562.99,,,10128.14,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42083,,Sin puja mínima
SUB-JA-2021-180267,JUDICIAL EN VÍA DE APREMIO,1777210.84,7,,,,,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42086,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181418,JUDICIAL EN VÍA DE APREMIO,1765778.06,Sin lotes,1968070.1,,39361.4,98403.5,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42084,,Sin puja mínima
SUB-JA-2021-180155,JUDICIAL EN VÍA DE APREMIO,1055615.51,2,,,,,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42082,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JV-2021-181560,JUDICIAL VOLUNTARIA,11168483.2,Sin lotes,94929.31,,1898.58,4746.46,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42008,,Sin puja mínima
SUB-JA-2019-141185,JUDICIAL EN VÍA DE APREMIO,114121.28,Sin lotes,120000.0,,500.0,6000.0,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42106,,Sin puja mínima
SUB-JA-2021-181245,JUDICIAL EN VÍA DE APREMIO,120763.1,2,,,,,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42085,Separada para cada lote,Ver puja mínima de cada lote 
SUB-AT-2021-21R4686001123,AGENCIA TRIBUTARIA,,Sin lotes,29951.06,51.06,500.0,1497.55,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42214,,Sin puja mínima
SUB-JA-2021-181287,JUDICIAL EN VÍA DE APREMIO,246719.87,Sin lotes,304200.0,200.0,6084.0,15210.0,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42022,,Sin puja mínima
SUB-JA-2021-180900,JUDICIAL EN VÍA DE APREMIO,177704.38,Sin lotes,203900.0,,4078.0,10195.0,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42081,,"200,00 €"
SUB-NE-2021-875980,NOTARIAL EN VENTA EXTRAJUDICIAL,358974.88,Sin lotes,299725.19,725.19,,14986.26,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42265,,"149.862,60 €"
SUB-JA-2021-180967,JUDICIAL EN VÍA DE APREMIO,114230.25,Sin lotes,226600.0,,4532.0,11330.0,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42091,,Sin puja mínima
SUB-JA-2021-178736,JUDICIAL EN VÍA DE APREMIO,864820.46,2,,,,,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42037,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181066,JUDICIAL EN VÍA DE APREMIO,29159.4,Sin lotes,29159.4,,583.18,1457.97,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42059,,Sin puja mínima
SUB-NE-2021-875982,NOTARIAL EN VENTA EXTRAJUDICIAL,810861.86,Sin lotes,743869.84,869.84,,37193.49,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42262,,"595.095,87 €"
SUB-JA-2021-171985,JUDICIAL EN VÍA DE APREMIO,104633.19,Sin lotes,150336.48,,3006.73,7516.82,19-10-2021 18:00:00 CET,08-11-2021 18:00:00 CET ,BOE-B-2021-42020,,Sin puja mínima
SUB-NE-2021-905967,NOTARIAL EN VENTA EXTRAJUDICIAL,,6,,,,,14-10-2021 18:00:00 CET,03-11-2021 18:00:00 CET ,BOE-B-2021-41820,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181609,JUDICIAL EN VÍA DE APREMIO,12649.87,Sin lotes,145000.0,,,7250.0,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43330,,Sin puja mínima
SUB-NV-2021-886014,NOTARIAL VOLUNTARIA,69746.25,Sin lotes,69746.25,46.25,,13949.25,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43461,,"69.746,25 €"
SUB-RC-2021-2800500111018,RECAUDACIÓN TRIBUTARIA,8979.61,Sin lotes,210766.75,766.75,5000.0,10538.34,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43445,,"160.000,00 €"
SUB-JA-2021-181362,JUDICIAL EN VÍA DE APREMIO,91517.25,Sin lotes,104576.11,,2091.52,5228.8,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43326,,Sin puja mínima
SUB-NE-2021-886013,NOTARIAL EN VENTA EXTRAJUDICIAL,80768.12,Sin lotes,175992.95,992.95,,8799.63,28-10-2021 18:00:00 CET,17-11-2021 18:00:00 CET ,BOE-B-2021-43462,,Sin puja mínima
SUB-NV-2021-905972,NOTARIAL VOLUNTARIA,2045356.1,Sin lotes,2045356.1,5356.1,10000.0,102267.85,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43282,,"2.045.356,10 €"
SUB-NV-2021-886012,NOTARIAL VOLUNTARIA,,6,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43287,Separada para cada lote,Ver puja mínima de cada lote 
SUB-JA-2021-181904,JUDICIAL EN VÍA DE APREMIO,40000.0,Sin lotes,11936.45,,238.72,596.82,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43006,,Sin puja mínima
SUB-JA-2021-181815,JUDICIAL EN VÍA DE APREMIO,43602273.32,Sin lotes,3353000.0,,67060.0,167650.0,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-42921,,Sin puja mínima
SUB-JA-2021-181639,JUDICIAL EN VÍA DE APREMIO,1297984.25,Sin lotes,1922700.0,,38454.0,96135.0,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43019,,Sin puja mínima
SUB-JA-2021-181566,JUDICIAL EN VÍA DE APREMIO,149790.32,Sin lotes,237196.0,,4743.92,11859.8,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43009,,Sin puja mínima
SUB-JA-2021-181532,JUDICIAL EN VÍA DE APREMIO,97961.71,Sin lotes,179070.9,,3581.42,8953.55,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43021,,Sin puja mínima
SUB-JA-2021-181478,JUDICIAL EN VÍA DE APREMIO,195053.37,Sin lotes,223500.39,,4470.0,11175.01,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43040,,Sin puja mínima
SUB-JA-2021-181466,JUDICIAL EN VÍA DE APREMIO,7063.44,2,,,,,26-10-2021 18:00:00 CET,15-11-2021 18:00:00 CET ,BOE-B-2021-43007,Separada para cada lote,Ver puja mínima de cada lote 
